userid,version,total_rounds,one_d_retention,seven_d_retention
116,Gate 30,3,0,0
337,Gate 30,38,1,0
377,Gate 40,165,1,0
483,Gate 40,1,0,0
488,Gate 40,179,1,1
540,Gate 40,187,1,1
1066,Gate 30,0,0,0
1444,Gate 40,2,0,0
1574,Gate 40,108,1,1
1587,Gate 40,153,1,0
1842,Gate 40,3,0,1
2101,Gate 30,0,0,0
2132,Gate 40,30,1,0
2179,Gate 30,39,1,0
2218,Gate 30,305,1,1
2382,Gate 30,73,1,0
2392,Gate 30,14,1,0
2451,Gate 30,204,1,1
2482,Gate 30,108,1,1
2502,Gate 40,1,0,0
2530,Gate 40,9,1,0
2534,Gate 30,5,1,0
2695,Gate 40,45,1,0
2729,Gate 30,105,0,1
2829,Gate 30,4,0,0
2963,Gate 30,3,0,0
3095,Gate 30,0,0,0
3132,Gate 40,80,1,1
3186,Gate 40,4,0,0
3199,Gate 30,5,0,0
3204,Gate 40,53,1,1
3413,Gate 30,37,1,0
3690,Gate 30,13,1,0
3696,Gate 30,50,0,0
3993,Gate 40,202,1,1
4076,Gate 40,0,0,0
4162,Gate 30,23,0,0
4176,Gate 30,0,0,0
4283,Gate 30,103,0,0
4594,Gate 30,27,0,0
4653,Gate 40,15,0,0
4881,Gate 30,0,0,0
4902,Gate 40,1,0,0
4916,Gate 40,49,1,0
4918,Gate 30,7,0,0
4929,Gate 30,386,1,1
4945,Gate 40,25,1,0
5066,Gate 30,1,0,0
5215,Gate 30,13,1,0
5286,Gate 30,12,1,0
5345,Gate 40,6,0,0
5479,Gate 30,25,1,0
5550,Gate 30,29,1,0
5661,Gate 30,136,1,0
5712,Gate 30,105,1,1
5920,Gate 40,10,1,0
5943,Gate 40,76,0,0
6099,Gate 40,138,0,0
6123,Gate 30,0,0,0
6151,Gate 30,94,1,1
6156,Gate 40,1,0,0
6492,Gate 30,0,0,0
6664,Gate 40,26,1,0
6695,Gate 40,127,1,0
6833,Gate 40,6,0,0
6842,Gate 40,4,0,0
6924,Gate 30,21,0,0
6930,Gate 40,297,1,1
7124,Gate 40,108,1,1
7253,Gate 30,45,1,0
7321,Gate 40,33,0,0
7509,Gate 40,0,0,0
7527,Gate 30,80,0,0
7564,Gate 30,21,0,0
7582,Gate 40,3,0,0
7767,Gate 30,139,1,1
7866,Gate 30,14,0,0
8063,Gate 30,50,1,0
8254,Gate 40,14,0,0
8256,Gate 40,14,0,0
8288,Gate 30,9,0,0
8317,Gate 40,3,0,0
8379,Gate 30,0,0,0
8464,Gate 30,10,0,0
8465,Gate 40,4,0,0
8494,Gate 30,5,1,0
8644,Gate 30,2,0,0
8679,Gate 30,0,0,0
8692,Gate 30,3,1,0
8753,Gate 40,10,1,0
8788,Gate 30,19,0,1
8801,Gate 40,0,0,0
8885,Gate 40,5,0,0
9001,Gate 40,16,1,0
9308,Gate 40,95,1,0
9443,Gate 40,3,0,0
9589,Gate 30,8,0,0
9699,Gate 40,8,0,0
9828,Gate 40,1,0,0
9831,Gate 40,3,0,0
9849,Gate 40,1,0,0
10112,Gate 30,6,0,0
10200,Gate 40,106,0,1
10218,Gate 30,22,1,0
10276,Gate 40,1,0,0
10336,Gate 30,11,0,0
10476,Gate 40,4,0,0
10533,Gate 40,21,0,0
10598,Gate 40,8,0,0
10636,Gate 30,246,1,1
10637,Gate 40,0,0,0
10676,Gate 40,6,0,0
10756,Gate 30,16,0,0
10884,Gate 40,49,1,0
11093,Gate 40,54,1,1
11127,Gate 30,66,1,1
11297,Gate 30,0,0,0
11411,Gate 30,122,1,1
11420,Gate 30,75,1,0
11599,Gate 30,3,0,0
11675,Gate 40,17,0,0
11747,Gate 30,1,1,0
11840,Gate 30,24,0,0
11886,Gate 30,3,0,0
12053,Gate 30,11,1,0
12067,Gate 40,7,0,0
12163,Gate 30,47,1,0
12393,Gate 40,1,0,0
12461,Gate 40,4,0,0
12523,Gate 30,31,1,0
12558,Gate 30,13,0,0
12574,Gate 30,22,1,0
12749,Gate 30,6,1,0
12905,Gate 40,1,0,0
12951,Gate 40,2,0,0
12967,Gate 30,24,1,0
12979,Gate 30,6,0,0
13133,Gate 40,6,0,0
13216,Gate 30,24,1,0
13228,Gate 40,9,0,0
13320,Gate 40,34,0,0
13321,Gate 40,56,0,0
13376,Gate 40,12,1,0
13429,Gate 30,60,0,1
13494,Gate 40,10,1,0
13633,Gate 30,67,0,0
13664,Gate 30,42,1,1
13721,Gate 40,65,1,0
13758,Gate 30,1,0,0
13806,Gate 30,4,0,0
13856,Gate 30,3,0,0
13872,Gate 30,1,0,0
13893,Gate 40,14,0,0
13969,Gate 40,42,0,0
14143,Gate 30,13,0,0
14218,Gate 30,129,0,1
14290,Gate 40,6,1,0
14296,Gate 30,37,0,0
14381,Gate 40,9,0,0
14592,Gate 30,1,0,0
14644,Gate 40,2,0,0
14834,Gate 30,27,0,0
15157,Gate 40,38,0,0
15173,Gate 30,8,0,0
15294,Gate 30,51,1,1
15489,Gate 30,5,0,0
15597,Gate 40,2,0,0
15962,Gate 30,0,0,0
15970,Gate 40,16,1,0
16096,Gate 40,0,0,0
16145,Gate 40,7,0,0
16180,Gate 30,5,0,0
16224,Gate 40,0,0,0
16454,Gate 40,11,0,0
16504,Gate 40,0,0,0
16506,Gate 30,4,1,0
16638,Gate 40,51,1,0
16696,Gate 40,5,0,0
17085,Gate 40,33,0,0
17167,Gate 30,21,0,0
17270,Gate 30,49,1,0
17422,Gate 40,2,0,0
17461,Gate 30,1,0,0
17477,Gate 30,46,1,1
17506,Gate 40,127,1,1
17554,Gate 30,1,0,0
17814,Gate 30,14,0,0
17903,Gate 40,17,0,0
17947,Gate 30,104,1,1
17995,Gate 30,6,0,0
18013,Gate 40,21,1,0
18213,Gate 40,36,1,0
18235,Gate 30,8,0,0
18374,Gate 40,53,1,0
18731,Gate 30,1,0,0
18756,Gate 30,38,1,1
18778,Gate 30,13,0,0
18827,Gate 30,20,1,0
18849,Gate 40,74,1,1
18993,Gate 40,25,1,0
19077,Gate 30,11,0,0
19091,Gate 40,1,0,0
19474,Gate 40,2,0,0
19490,Gate 30,72,1,0
19529,Gate 40,22,0,0
19537,Gate 40,2,0,0
19593,Gate 40,18,0,0
19673,Gate 40,4,0,0
19721,Gate 40,18,0,0
19728,Gate 40,79,1,1
19746,Gate 30,65,0,1
19896,Gate 40,13,1,0
19993,Gate 30,5,1,0
20005,Gate 30,4,0,0
20052,Gate 30,8,0,0
20136,Gate 30,0,0,0
20358,Gate 40,19,0,1
20365,Gate 40,6,0,0
20465,Gate 30,108,1,0
20489,Gate 40,2,0,0
20587,Gate 40,26,0,0
20591,Gate 40,2,1,0
20721,Gate 40,99,0,1
20763,Gate 30,10,0,0
20790,Gate 40,5,1,0
20832,Gate 30,13,1,0
20940,Gate 40,1,0,0
21072,Gate 40,16,0,0
21130,Gate 40,1,0,0
21137,Gate 40,91,1,0
21228,Gate 40,149,1,1
21408,Gate 30,20,1,0
21442,Gate 40,68,1,0
21755,Gate 40,12,0,1
22069,Gate 40,7,0,0
22082,Gate 40,3,0,0
22167,Gate 40,277,1,1
22299,Gate 40,493,1,1
22398,Gate 30,4,0,0
22486,Gate 40,3,0,0
22676,Gate 40,8,0,0
22919,Gate 40,1,0,0
22935,Gate 30,274,1,1
22972,Gate 30,17,0,0
23023,Gate 40,32,0,1
23026,Gate 40,1,0,0
23084,Gate 40,85,1,1
23094,Gate 40,12,0,0
23126,Gate 40,1,0,0
23270,Gate 30,8,0,0
23333,Gate 30,9,0,0
23374,Gate 30,8,1,0
23525,Gate 40,191,1,1
23702,Gate 40,115,1,0
23748,Gate 40,45,1,0
24036,Gate 40,15,0,0
24222,Gate 30,134,1,1
24302,Gate 40,19,1,0
24328,Gate 30,2,0,0
24382,Gate 30,22,1,0
24397,Gate 30,6,0,0
24981,Gate 40,18,0,0
25047,Gate 30,0,0,0
25281,Gate 30,0,0,0
25293,Gate 40,12,0,0
25332,Gate 30,152,1,1
25466,Gate 40,2,0,0
25903,Gate 30,8,1,0
25941,Gate 40,73,1,0
25958,Gate 30,0,0,0
26083,Gate 30,100,1,1
26243,Gate 40,250,1,1
26253,Gate 30,10,0,0
26466,Gate 40,13,1,0
26502,Gate 30,147,1,1
26586,Gate 30,391,1,0
27135,Gate 30,18,0,0
27163,Gate 40,23,0,0
27605,Gate 30,19,1,0
27693,Gate 30,4,0,0
27754,Gate 30,14,0,0
27759,Gate 30,61,1,1
27849,Gate 40,61,1,0
27851,Gate 40,75,1,0
27979,Gate 30,75,0,0
28025,Gate 30,57,1,0
28091,Gate 30,35,1,0
28123,Gate 30,9,0,0
28332,Gate 30,13,0,0
28405,Gate 30,1,0,0
28433,Gate 30,20,0,0
28497,Gate 40,77,1,1
29185,Gate 40,3,0,0
29311,Gate 40,7,0,0
29317,Gate 40,6,0,0
29455,Gate 30,51,1,1
29522,Gate 40,197,0,1
29658,Gate 30,2,0,0
29677,Gate 40,22,0,0
29753,Gate 40,69,1,0
29861,Gate 40,4,0,0
29999,Gate 30,260,1,1
30039,Gate 40,20,0,0
30059,Gate 30,4,0,0
30274,Gate 30,7,1,0
30277,Gate 30,0,0,0
30343,Gate 30,8,1,1
30348,Gate 30,48,1,1
30594,Gate 40,15,1,0
30631,Gate 30,61,0,1
30868,Gate 30,1,0,0
30928,Gate 30,12,1,0
31073,Gate 30,270,1,1
31151,Gate 30,59,0,0
31200,Gate 30,141,1,0
31214,Gate 30,53,0,1
31222,Gate 40,20,0,0
31638,Gate 40,16,0,0
31691,Gate 30,0,0,0
31812,Gate 30,37,1,0
31903,Gate 30,467,1,1
32292,Gate 40,25,0,0
32403,Gate 40,2,1,0
32569,Gate 40,4,0,0
32595,Gate 40,11,1,0
32642,Gate 30,40,0,0
32730,Gate 30,9,0,0
32942,Gate 40,11,1,1
33097,Gate 30,12,0,0
33126,Gate 30,6,0,0
33189,Gate 40,9,1,0
33274,Gate 40,4,0,0
33316,Gate 40,18,1,0
33445,Gate 30,77,0,1
33489,Gate 30,4,0,0
33639,Gate 40,45,1,0
33703,Gate 40,43,1,0
33794,Gate 30,3,0,0
33954,Gate 40,30,1,0
33967,Gate 30,33,1,1
34016,Gate 40,47,1,0
34022,Gate 40,72,0,1
34027,Gate 40,16,0,0
34076,Gate 40,2,0,0
34447,Gate 40,93,1,1
34469,Gate 30,222,1,1
34597,Gate 40,334,1,1
34647,Gate 40,8,0,0
34706,Gate 30,29,1,0
34842,Gate 40,27,1,0
34859,Gate 30,16,0,0
